Lap,stingray,pillow fight,american flyer,mystery machine WI,starz,fette vette,party machine,tub life,lazygt,mini tesla,space trash,mystery machine NY
155,19.208,22.271,18.497,20.579,163.336,,,,,,,
156,20.211,22.036,17.881,20.522,25.317,,,,,,,
157,22.77,18.843,17.17,20.868,24.78,,,,,,,
158,22.683,17.881,17.145,20.223,24.83,,,,,,,
159,18.907,17.711,23.146,20.298,26.387,,,,,,,
160,19.607,17.319,22.742,28.841,26.702,,,,,,,
161,20.183,21.95,19.593,21.034,,,,,,,,
162,20.094,22.922,19.913,20.816,,,,,,,,
163,21.167,20.095,23.027,20.711,,,,,,,,
164,20.858,19.968,17.674,21.049,,,,,,,,
165,19.798,22.613,22.465,20.654,,,,,,,,
166,20.466,17.921,21.692,20.547,,,,,,,,
167,19.986,21.851,23.12,20.457,,,,,,,,
168,28.889,22.066,18.026,21.382,,,,,,,,
169,20.905,27.106,19.181,22.069,,,,,,,,
170,22.577,19.819,19.283,23.332,,,,,,,,
171,19.49,17.446,20.368,20.258,,,,,,,,
172,21.722,19.94,21.169,20.887,,,,,,,,
173,19.645,17.866,23.395,20.44,,,,,,,,
174,21.665,19.846,17.527,,,,,,,,,
175,19.315,22.607,16.927,,,,,,,,,
176,20.394,18.055,18.758,,,,,,,,,
177,20.968,18.03,,,,,,,,,,
178,18.941,17.873,,,,,,,,,,
179,19.699,,,,,,,,,,,
180,19.276,,,,,,,,,,,
181,19.154,,,,,,,,,,,
